mnk,mem,mflops,nul
8.0 , 1.5 , 897.099 , 0.0
12.0 , 3.375 , 1187.497 , 0.0
16.0 , 6.0 , 1313.65 , 0.0
20.0 , 9.375 , 1426.005 , 0.0
30.0 , 21.094 , 1477.162 , 0.0
40.0 , 37.5 , 1348.487 , 0.0
50.0 , 58.594 , 1336.864 , 0.0
60.0 , 84.375 , 1352.783 , 0.0
70.0 , 114.844 , 1393.825 , 0.0
80.0 , 150.0 , 1451.314 , 0.0
90.0 , 189.844 , 1413.237 , 0.0
100.0 , 234.375 , 1478.211 , 0.0
110.0 , 283.594 , 1440.228 , 0.0
120.0 , 337.5 , 1486.824 , 0.0
130.0 , 396.094 , 1437.239 , 0.0
140.0 , 459.375 , 1482.192 , 0.0
150.0 , 527.344 , 1405.02 , 0.0
160.0 , 600.0 , 1413.455 , 0.0
180.0 , 759.375 , 1430.732 , 0.0
200.0 , 937.5 , 1445.096 , 0.0
240.0 , 1350.0 , 1455.644 , 0.0
280.0 , 1837.5 , 1424.738 , 0.0
350.0 , 2871.094 , 1429.703 , 0.0
450.0 , 4746.094 , 1434.676 , 0.0
550.0 , 7089.844 , 1406.509 , 0.0
700.0 , 11484.375 , 1425.881 , 0.0
900.0 , 18984.375 , 1426.408 , 0.0
1100.0 , 28359.375 , 1430.55 , 0.0
1300.0 , 39609.375 , 1431.869 , 0.0
1500.0 , 52734.375 , 1429.779 , 0.0
1700.0 , 67734.375 , 1432.938 , 0.0
1900.0 , 84609.375 , 1440.662 , 134.0
2200.0 , 113437.5 , 1454.623 , 448.0
