mnk,mem,mflops,nul
30.0 , 52734.375 , 1503.327 , 0.0
35.0 , 52734.375 , 1511.833 , 0.0
40.0 , 52734.375 , 1346.493 , 0.0
41.0 , 52734.375 , 1516.614 , 0.0
42.0 , 52734.375 , 1356.651 , 0.0
43.0 , 52734.375 , 1515.321 , 0.0
44.0 , 52734.375 , 1353.329 , 0.0
45.0 , 52734.375 , 1457.66 , 0.0
46.0 , 52734.375 , 1307.744 , 0.0
47.0 , 52734.375 , 1312.016 , 0.0
48.0 , 52734.375 , 1314.077 , 0.0
49.0 , 52734.375 , 1317.254 , 0.0
50.0 , 52734.375 , 1317.992 , 0.0
60.0 , 52734.375 , 1348.152 , 0.0
90.0 , 52734.375 , 1424.822 , 0.0
95.0 , 52734.375 , 1435.145 , 0.0
100.0 , 52734.375 , 1447.687 , 0.0
105.0 , 52734.375 , 1458.258 , 0.0
110.0 , 52734.375 , 1457.938 , 0.0
120.0 , 52734.375 , 1469.768 , 0.0
130.0 , 52734.375 , 1456.944 , 0.0
135.0 , 52734.375 , 1457.801 , 0.0
140.0 , 52734.375 , 1456.27 , 0.0
145.0 , 52734.375 , 1442.082 , 0.0
150.0 , 52734.375 , 1451.041 , 0.0
1000.0 , 52734.375 , 1504.559 , 0.0
1100.0 , 52734.375 , 1471.808 , 0.0
1110.0 , 52734.375 , 1460.361 , 0.0
1120.0 , 52734.375 , 1447.483 , 0.0
1130.0 , 52734.375 , 1445.095 , 0.0
1140.0 , 52734.375 , 1443.847 , 0.0
1150.0 , 52734.375 , 1437.119 , 0.0
1160.0 , 52734.375 , 1431.936 , 0.0
1200.0 , 52734.375 , 1421.34 , 0.0
1300.0 , 52734.375 , 1427.869 , 0.0
1400.0 , 52734.375 , 1463.949 , 0.0
1500.0 , 52734.375 , 1489.241 , 0.0
1600.0 , 52734.375 , 1512.304 , 0.0
