mnk,mem,mflops,nul
8.0 , 1.5 , 294.221 , 0.0
12.0 , 3.375 , 315.934 , 0.0
16.0 , 6.0 , 332.956 , 0.0
20.0 , 9.375 , 348.183 , 0.0
30.0 , 21.094 , 355.994 , 0.0
40.0 , 37.5 , 340.63 , 0.0
50.0 , 58.594 , 344.131 , 0.0
60.0 , 84.375 , 349.893 , 0.0
70.0 , 114.844 , 352.567 , 0.0
80.0 , 150.0 , 353.677 , 0.0
90.0 , 189.844 , 352.292 , 0.0
100.0 , 234.375 , 357.144 , 0.0
110.0 , 283.594 , 355.406 , 0.0
120.0 , 337.5 , 348.782 , 0.0
130.0 , 396.094 , 357.747 , 0.0
140.0 , 459.375 , 357.124 , 0.0
150.0 , 527.344 , 358.011 , 0.0
160.0 , 600.0 , 355.593 , 0.0
180.0 , 759.375 , 352.233 , 0.0
200.0 , 937.5 , 357.001 , 0.0
240.0 , 1350.0 , 356.477 , 0.0
280.0 , 1837.5 , 358.47 , 0.0
350.0 , 2871.094 , 357.241 , 0.0
450.0 , 4746.094 , 361.116 , 0.0
550.0 , 7089.844 , 361.321 , 0.0
700.0 , 11484.375 , 362.553 , 0.0
900.0 , 18984.375 , 363.167 , 0.0
1100.0 , 28359.375 , 362.633 , 0.0
1300.0 , 39609.375 , 360.77 , 0.0
1500.0 , 52734.375 , 359.689 , 0.0
1700.0 , 67734.375 , 360.023 , 0.0
1900.0 , 84609.375 , 361.244 , 134.0
2200.0 , 113437.5 , 360.619 , 448.0
