mnk,mem,mflops,nul
8.0 , 1.5 , 975.597 , 0.0
12.0 , 3.375 , 1564.549 , 0.0
16.0 , 6.0 , 1987.031 , 0.0
20.0 , 9.375 , 2407.156 , 0.0
30.0 , 21.094 , 3096.605 , 0.0
40.0 , 37.5 , 3574.598 , 0.0
50.0 , 58.594 , 3756.012 , 0.0
60.0 , 84.375 , 3888.259 , 0.0
70.0 , 114.844 , 3891.611 , 0.0
80.0 , 150.0 , 3436.945 , 0.0
90.0 , 189.844 , 3571.908 , 0.0
100.0 , 234.375 , 3635.428 , 0.0
110.0 , 283.594 , 3753.582 , 0.0
120.0 , 337.5 , 3805.277 , 0.0
130.0 , 396.094 , 3870.215 , 0.0
140.0 , 459.375 , 3871.112 , 0.0
150.0 , 527.344 , 3796.761 , 0.0
160.0 , 600.0 , 3708.994 , 0.0
180.0 , 759.375 , 3648.892 , 0.0
200.0 , 937.5 , 3556.365 , 0.0
240.0 , 1350.0 , 3449.144 , 0.0
280.0 , 1837.5 , 3545.019 , 0.0
350.0 , 2871.094 , 3623.307 , 0.0
450.0 , 4746.094 , 3696.146 , 0.0
550.0 , 7089.844 , 3740.278 , 0.0
700.0 , 11484.375 , 3819.311 , 0.0
900.0 , 18984.375 , 3830.362 , 0.0
1100.0 , 28359.375 , 3889.568 , 0.0
1300.0 , 39609.375 , 3614.238 , 0.0
1500.0 , 52734.375 , 2491.494 , 0.0
1700.0 , 67734.375 , 2027.431 , 0.0
1900.0 , 84609.375 , 1942.428 , 134.0
2200.0 , 113437.5 , 1939.35 , 448.0
