mnk,mem,mflops,nul
8.0 , 1.5 , 1286.66 , 0.0
12.0 , 3.375 , 2685.289 , 0.0
16.0 , 6.0 , 3083.0 , 0.0
20.0 , 9.375 , 3695.532 , 0.0
30.0 , 21.094 , 4382.912 , 0.0
40.0 , 37.5 , 7934.859 , 0.0
50.0 , 58.594 , 7207.357 , 0.0
60.0 , 84.375 , 6633.695 , 0.0
70.0 , 114.844 , 6170.585 , 0.0
80.0 , 150.0 , 8732.585 , 0.0
90.0 , 189.844 , 8148.952 , 0.0
100.0 , 234.375 , 7938.257 , 0.0
110.0 , 283.594 , 7508.079 , 0.0
120.0 , 337.5 , 9058.92 , 0.0
130.0 , 396.094 , 8845.177 , 0.0
140.0 , 459.375 , 8563.68 , 0.0
150.0 , 527.344 , 8237.501 , 0.0
160.0 , 600.0 , 9230.375 , 0.0
180.0 , 759.375 , 8908.463 , 0.0
200.0 , 937.5 , 9330.652 , 0.0
240.0 , 1350.0 , 9324.851 , 0.0
280.0 , 1837.5 , 9290.539 , 0.0
350.0 , 2871.094 , 9159.755 , 0.0
450.0 , 4746.094 , 9411.187 , 0.0
550.0 , 7089.844 , 9264.044 , 0.0
700.0 , 11484.375 , 9388.656 , 0.0
900.0 , 18984.375 , 9305.273 , 0.0
1100.0 , 28359.375 , 9499.787 , 0.0
1300.0 , 39609.375 , 9513.541 , 0.0
1500.0 , 52734.375 , 9494.515 , 0.0
1700.0 , 67734.375 , 9495.509 , 0.0
1900.0 , 84609.375 , 9522.265 , 0.0
2200.0 , 113437.5 , 9565.417 , 0.0
