mnk,mem,mflops,nul
8.0 , 1.5 , 1004.355 , 0.0
12.0 , 3.375 , 2006.23 , 0.0
16.0 , 6.0 , 2493.46 , 0.0
20.0 , 9.375 , 2923.826 , 0.0
30.0 , 21.094 , 3443.521 , 0.0
40.0 , 37.5 , 3803.495 , 0.0
50.0 , 58.594 , 4031.319 , 0.0
60.0 , 84.375 , 4184.97 , 0.0
70.0 , 114.844 , 4116.471 , 0.0
80.0 , 150.0 , 3555.228 , 0.0
90.0 , 189.844 , 3693.456 , 0.0
100.0 , 234.375 , 3733.589 , 0.0
110.0 , 283.594 , 3782.974 , 0.0
120.0 , 337.5 , 3820.662 , 0.0
130.0 , 396.094 , 3854.055 , 0.0
140.0 , 459.375 , 3910.232 , 0.0
150.0 , 527.344 , 3952.399 , 0.0
160.0 , 600.0 , 3986.778 , 0.0
180.0 , 759.375 , 4018.847 , 0.0
200.0 , 937.5 , 4004.53 , 0.0
240.0 , 1350.0 , 4071.579 , 0.0
280.0 , 1837.5 , 4128.832 , 0.0
350.0 , 2871.094 , 4195.228 , 0.0
450.0 , 4746.094 , 4258.388 , 0.0
550.0 , 7089.844 , 4292.513 , 0.0
700.0 , 11484.375 , 4330.751 , 0.0
900.0 , 18984.375 , 4362.373 , 0.0
1100.0 , 28359.375 , 4317.174 , 0.0
1300.0 , 39609.375 , 3356.086 , 0.0
1500.0 , 52734.375 , 2862.311 , 0.0
1700.0 , 67734.375 , 2735.866 , 0.0
1900.0 , 84609.375 , 2666.216 , 134.0
2200.0 , 113437.5 , 2623.601 , 448.0
