mnk,mem,mflops,nul
8.0 , 1.5 , 286.321 , 0.0
12.0 , 3.375 , 316.329 , 0.0
16.0 , 6.0 , 322.804 , 0.0
20.0 , 9.375 , 333.712 , 0.0
30.0 , 21.094 , 338.201 , 0.0
40.0 , 37.5 , 325.688 , 0.0
50.0 , 58.594 , 335.689 , 0.0
60.0 , 84.375 , 336.889 , 0.0
70.0 , 114.844 , 338.945 , 0.0
80.0 , 150.0 , 335.769 , 0.0
90.0 , 189.844 , 341.106 , 0.0
100.0 , 234.375 , 341.824 , 0.0
110.0 , 283.594 , 341.708 , 0.0
120.0 , 337.5 , 340.915 , 0.0
130.0 , 396.094 , 341.865 , 0.0
140.0 , 459.375 , 329.28 , 0.0
150.0 , 527.344 , 321.9 , 0.0
160.0 , 600.0 , 292.722 , 0.0
180.0 , 759.375 , 295.537 , 0.0
200.0 , 937.5 , 282.394 , 0.0
240.0 , 1350.0 , 267.267 , 0.0
280.0 , 1837.5 , 271.236 , 0.0
350.0 , 2871.094 , 241.727 , 0.0
450.0 , 4746.094 , 239.728 , 0.0
550.0 , 7089.844 , 233.846 , 0.0
700.0 , 11484.375 , 257.068 , 0.0
900.0 , 18984.375 , 268.409 , 0.0
1100.0 , 28359.375 , 260.552 , 0.0
1300.0 , 39609.375 , 260.837 , 0.0
1500.0 , 52734.375 , 215.96 , 0.0
1700.0 , 67734.375 , 207.684 , 0.0
1900.0 , 84609.375 , 152.479 , 134.0
2200.0 , 113437.5 , 168.014 , 448.0
