mnk,mem,mflops,nul
8.0 , 1.5 , 293.396 , 0.0
12.0 , 3.375 , 325.044 , 0.0
16.0 , 6.0 , 334.055 , 0.0
20.0 , 9.375 , 324.857 , 0.0
30.0 , 21.094 , 347.102 , 0.0
40.0 , 37.5 , 341.742 , 0.0
50.0 , 58.594 , 345.141 , 0.0
60.0 , 84.375 , 348.811 , 0.0
70.0 , 114.844 , 351.04 , 0.0
80.0 , 150.0 , 352.61 , 0.0
90.0 , 189.844 , 351.366 , 0.0
100.0 , 234.375 , 350.794 , 0.0
110.0 , 283.594 , 352.755 , 0.0
120.0 , 337.5 , 354.474 , 0.0
130.0 , 396.094 , 352.455 , 0.0
140.0 , 459.375 , 351.799 , 0.0
150.0 , 527.344 , 351.32 , 0.0
160.0 , 600.0 , 318.553 , 0.0
180.0 , 759.375 , 348.342 , 0.0
200.0 , 937.5 , 331.78 , 0.0
240.0 , 1350.0 , 306.004 , 0.0
280.0 , 1837.5 , 322.862 , 0.0
350.0 , 2871.094 , 323.118 , 0.0
450.0 , 4746.094 , 297.217 , 0.0
550.0 , 7089.844 , 287.914 , 0.0
700.0 , 11484.375 , 303.951 , 0.0
900.0 , 18984.375 , 306.802 , 0.0
1100.0 , 28359.375 , 308.361 , 0.0
1300.0 , 39609.375 , 313.521 , 0.0
1500.0 , 52734.375 , 310.507 , 0.0
1700.0 , 67734.375 , 318.45 , 0.0
1900.0 , 84609.375 , 318.074 , 134.0
2200.0 , 113437.5 , 280.694 , 448.0
