mnk,mem,mflops,nul
8.0 , 1.5 , 189.823 , 0.0
12.0 , 3.375 , 212.442 , 0.0
16.0 , 6.0 , 224.044 , 0.0
20.0 , 9.375 , 211.788 , 0.0
30.0 , 21.094 , 223.67 , 0.0
40.0 , 37.5 , 229.716 , 0.0
50.0 , 58.594 , 233.369 , 0.0
60.0 , 84.375 , 235.719 , 0.0
70.0 , 114.844 , 236.838 , 0.0
80.0 , 150.0 , 238.931 , 0.0
90.0 , 189.844 , 239.825 , 0.0
100.0 , 234.375 , 240.673 , 0.0
110.0 , 283.594 , 240.61 , 0.0
120.0 , 337.5 , 241.964 , 0.0
130.0 , 396.094 , 242.418 , 0.0
140.0 , 459.375 , 242.548 , 0.0
150.0 , 527.344 , 242.938 , 0.0
160.0 , 600.0 , 243.39 , 0.0
180.0 , 759.375 , 243.478 , 0.0
200.0 , 937.5 , 243.766 , 0.0
240.0 , 1350.0 , 244.639 , 0.0
280.0 , 1837.5 , 244.977 , 0.0
350.0 , 2871.094 , 245.595 , 0.0
450.0 , 4746.094 , 245.968 , 0.0
550.0 , 7089.844 , 246.342 , 0.0
700.0 , 11484.375 , 246.641 , 0.0
900.0 , 18984.375 , 246.802 , 0.0
1100.0 , 28359.375 , 246.497 , 0.0
1300.0 , 39609.375 , 246.135 , 0.0
1500.0 , 52734.375 , 246.292 , 0.0
1700.0 , 67734.375 , 242.369 , 0.0
1900.0 , 84609.375 , 242.946 , 134.0
2200.0 , 113437.5 , 244.741 , 448.0
