mnk,mem,mflops,nul
8.0 , 1.5 , 884.004 , 0.0
12.0 , 3.375 , 1180.287 , 0.0
16.0 , 6.0 , 1350.416 , 0.0
20.0 , 9.375 , 1427.939 , 0.0
30.0 , 21.094 , 1507.855 , 0.0
40.0 , 37.5 , 1362.605 , 0.0
50.0 , 58.594 , 1338.048 , 0.0
60.0 , 84.375 , 1395.095 , 0.0
70.0 , 114.844 , 1428.144 , 0.0
80.0 , 150.0 , 1450.489 , 0.0
90.0 , 189.844 , 1454.088 , 0.0
100.0 , 234.375 , 1481.358 , 0.0
110.0 , 283.594 , 1492.705 , 0.0
120.0 , 337.5 , 1506.097 , 0.0
130.0 , 396.094 , 1502.478 , 0.0
140.0 , 459.375 , 1515.578 , 0.0
150.0 , 527.344 , 1524.267 , 0.0
160.0 , 600.0 , 1518.822 , 0.0
180.0 , 759.375 , 1499.54 , 0.0
200.0 , 937.5 , 1550.946 , 0.0
240.0 , 1350.0 , 1523.88 , 0.0
280.0 , 1837.5 , 1576.2 , 0.0
350.0 , 2871.094 , 1548.85 , 0.0
450.0 , 4746.094 , 1559.554 , 0.0
550.0 , 7089.844 , 1606.995 , 0.0
700.0 , 11484.375 , 1564.752 , 0.0
900.0 , 18984.375 , 1569.301 , 0.0
1100.0 , 28359.375 , 1450.16 , 0.0
1300.0 , 39609.375 , 1402.026 , 0.0
1500.0 , 52734.375 , 1428.197 , 0.0
1700.0 , 67734.375 , 1343.854 , 0.0
1900.0 , 84609.375 , 1287.056 , 134.0
2200.0 , 113437.5 , 1320.749 , 448.0
