mnk,mem,mflops,nul
30.0 , 52734.375 , 1478.694 , 0.0
35.0 , 52734.375 , 1389.664 , 0.0
40.0 , 52734.375 , 1320.334 , 0.0
41.0 , 52734.375 , 1483.602 , 0.0
42.0 , 52734.375 , 1335.606 , 0.0
43.0 , 52734.375 , 1492.083 , 0.0
44.0 , 52734.375 , 1345.372 , 0.0
45.0 , 52734.375 , 1464.903 , 0.0
46.0 , 52734.375 , 1304.431 , 0.0
47.0 , 52734.375 , 1305.611 , 0.0
48.0 , 52734.375 , 1304.888 , 0.0
49.0 , 52734.375 , 1302.369 , 0.0
50.0 , 52734.375 , 1301.47 , 0.0
60.0 , 52734.375 , 1327.312 , 0.0
90.0 , 52734.375 , 1412.325 , 0.0
95.0 , 52734.375 , 1429.292 , 0.0
100.0 , 52734.375 , 1448.01 , 0.0
105.0 , 52734.375 , 1458.241 , 0.0
110.0 , 52734.375 , 1465.619 , 0.0
120.0 , 52734.375 , 1468.623 , 0.0
130.0 , 52734.375 , 1460.336 , 0.0
135.0 , 52734.375 , 1462.031 , 0.0
140.0 , 52734.375 , 1456.105 , 0.0
145.0 , 52734.375 , 1430.162 , 0.0
150.0 , 52734.375 , 1436.562 , 0.0
1000.0 , 52734.375 , 1522.622 , 0.0
1100.0 , 52734.375 , 1476.39 , 0.0
1110.0 , 52734.375 , 1474.466 , 0.0
1120.0 , 52734.375 , 1470.413 , 0.0
1130.0 , 52734.375 , 1474.154 , 0.0
1140.0 , 52734.375 , 1461.563 , 0.0
1150.0 , 52734.375 , 1464.411 , 0.0
1160.0 , 52734.375 , 1456.367 , 0.0
1200.0 , 52734.375 , 1444.006 , 0.0
1300.0 , 52734.375 , 1455.617 , 0.0
1400.0 , 52734.375 , 1472.329 , 0.0
1500.0 , 52734.375 , 1506.619 , 0.0
1600.0 , 52734.375 , 1507.646 , 0.0
