mnk,mem,mflops,nul
8.0 , 1.5 , 286.003 , 0.0
12.0 , 3.375 , 313.471 , 0.0
16.0 , 6.0 , 327.564 , 0.0
20.0 , 9.375 , 316.08 , 0.0
30.0 , 21.094 , 340.267 , 0.0
40.0 , 37.5 , 332.481 , 0.0
50.0 , 58.594 , 336.977 , 0.0
60.0 , 84.375 , 338.657 , 0.0
70.0 , 114.844 , 341.055 , 0.0
80.0 , 150.0 , 339.088 , 0.0
90.0 , 189.844 , 343.74 , 0.0
100.0 , 234.375 , 343.267 , 0.0
110.0 , 283.594 , 343.621 , 0.0
120.0 , 337.5 , 342.291 , 0.0
130.0 , 396.094 , 340.27 , 0.0
140.0 , 459.375 , 332.948 , 0.0
150.0 , 527.344 , 325.734 , 0.0
160.0 , 600.0 , 294.199 , 0.0
180.0 , 759.375 , 298.017 , 0.0
200.0 , 937.5 , 282.437 , 0.0
240.0 , 1350.0 , 266.38 , 0.0
280.0 , 1837.5 , 271.417 , 0.0
350.0 , 2871.094 , 238.109 , 0.0
450.0 , 4746.094 , 236.453 , 0.0
550.0 , 7089.844 , 230.411 , 0.0
700.0 , 11484.375 , 261.458 , 0.0
900.0 , 18984.375 , 250.797 , 0.0
1100.0 , 28359.375 , 201.902 , 0.0
1300.0 , 39609.375 , 185.61 , 0.0
1500.0 , 52734.375 , 176.557 , 0.0
1700.0 , 67734.375 , 201.015 , 0.0
1900.0 , 84609.375 , 155.169 , 134.0
2200.0 , 113437.5 , 167.02 , 448.0
