mnk,mem,mflops,nul
8.0 , 1.5 , 987.098 , 0.0
12.0 , 3.375 , 1347.892 , 0.0
16.0 , 6.0 , 1511.59 , 0.0
20.0 , 9.375 , 1594.604 , 0.0
30.0 , 21.094 , 1632.865 , 0.0
40.0 , 37.5 , 1483.886 , 0.0
50.0 , 58.594 , 1525.582 , 0.0
60.0 , 84.375 , 1471.547 , 0.0
70.0 , 114.844 , 1527.566 , 0.0
80.0 , 150.0 , 1417.211 , 0.0
90.0 , 189.844 , 1547.938 , 0.0
100.0 , 234.375 , 1531.095 , 0.0
110.0 , 283.594 , 1535.724 , 0.0
120.0 , 337.5 , 1418.551 , 0.0
130.0 , 396.094 , 1398.67 , 0.0
140.0 , 459.375 , 1318.131 , 0.0
150.0 , 527.344 , 1188.239 , 0.0
160.0 , 600.0 , 567.978 , 0.0
180.0 , 759.375 , 1079.959 , 0.0
200.0 , 937.5 , 1076.615 , 0.0
240.0 , 1350.0 , 673.137 , 0.0
280.0 , 1837.5 , 634.827 , 0.0
350.0 , 2871.094 , 571.076 , 0.0
450.0 , 4746.094 , 571.637 , 0.0
550.0 , 7089.844 , 570.363 , 0.0
700.0 , 11484.375 , 556.71 , 0.0
900.0 , 18984.375 , 474.306 , 0.0
1100.0 , 28359.375 , 450.437 , 0.0
1300.0 , 39609.375 , 439.306 , 0.0
1500.0 , 52734.375 , 418.112 , 0.0
1700.0 , 67734.375 , 416.215 , 0.0
1900.0 , 84609.375 , 391.564 , 134.0
2200.0 , 113437.5 , 323.579 , 448.0
