mnk,mem,mflops,nul
8.0 , 1.5 , 1261.337 , 0.0
12.0 , 3.375 , 2562.521 , 0.0
16.0 , 6.0 , 3006.778 , 0.0
20.0 , 9.375 , 3663.954 , 0.0
30.0 , 21.094 , 4287.176 , 0.0
40.0 , 37.5 , 7892.307 , 0.0
50.0 , 58.594 , 7199.909 , 0.0
60.0 , 84.375 , 6593.91 , 0.0
70.0 , 114.844 , 6151.904 , 0.0
80.0 , 150.0 , 8782.576 , 0.0
90.0 , 189.844 , 8359.485 , 0.0
100.0 , 234.375 , 7952.684 , 0.0
110.0 , 283.594 , 7489.001 , 0.0
120.0 , 337.5 , 9053.564 , 0.0
130.0 , 396.094 , 8847.727 , 0.0
140.0 , 459.375 , 8566.787 , 0.0
150.0 , 527.344 , 8235.49 , 0.0
160.0 , 600.0 , 9218.725 , 0.0
180.0 , 759.375 , 8902.938 , 0.0
200.0 , 937.5 , 9298.965 , 0.0
240.0 , 1350.0 , 9213.654 , 0.0
280.0 , 1837.5 , 9303.477 , 0.0
350.0 , 2871.094 , 9142.528 , 0.0
450.0 , 4746.094 , 9295.661 , 0.0
550.0 , 7089.844 , 9182.527 , 0.0
700.0 , 11484.375 , 9304.464 , 0.0
900.0 , 18984.375 , 9257.886 , 0.0
1100.0 , 28359.375 , 9438.612 , 0.0
1300.0 , 39609.375 , 9440.228 , 0.0
1500.0 , 52734.375 , 9415.208 , 0.0
1700.0 , 67734.375 , 9439.33 , 0.0
1900.0 , 84609.375 , 9563.85 , 0.0
2200.0 , 113437.5 , 9548.029 , 0.0
