mnk,mem,mflops,nul
8.0 , 1.5 , 296.016 , 0.0
12.0 , 3.375 , 323.436 , 0.0
16.0 , 6.0 , 340.243 , 0.0
20.0 , 9.375 , 348.29 , 0.0
30.0 , 21.094 , 347.773 , 0.0
40.0 , 37.5 , 341.616 , 0.0
50.0 , 58.594 , 334.925 , 0.0
60.0 , 84.375 , 344.469 , 0.0
70.0 , 114.844 , 352.481 , 0.0
80.0 , 150.0 , 344.447 , 0.0
90.0 , 189.844 , 342.085 , 0.0
100.0 , 234.375 , 351.42 , 0.0
110.0 , 283.594 , 355.407 , 0.0
120.0 , 337.5 , 357.06 , 0.0
130.0 , 396.094 , 357.958 , 0.0
140.0 , 459.375 , 356.078 , 0.0
150.0 , 527.344 , 357.138 , 0.0
160.0 , 600.0 , 357.562 , 0.0
180.0 , 759.375 , 357.548 , 0.0
200.0 , 937.5 , 359.325 , 0.0
240.0 , 1350.0 , 359.565 , 0.0
280.0 , 1837.5 , 360.881 , 0.0
350.0 , 2871.094 , 361.222 , 0.0
450.0 , 4746.094 , 361.862 , 0.0
550.0 , 7089.844 , 362.551 , 0.0
700.0 , 11484.375 , 362.651 , 0.0
900.0 , 18984.375 , 360.184 , 0.0
1100.0 , 28359.375 , 359.826 , 0.0
1300.0 , 39609.375 , 361.171 , 0.0
1500.0 , 52734.375 , 361.603 , 0.0
1700.0 , 67734.375 , 361.713 , 0.0
1900.0 , 84609.375 , 361.874 , 134.0
2200.0 , 113437.5 , 362.04 , 448.0
