mnk,mem,mflops,nul
8.0 , 1.5 , 286.96 , 0.0
12.0 , 3.375 , 314.083 , 0.0
16.0 , 6.0 , 339.922 , 0.0
20.0 , 9.375 , 345.89 , 0.0
30.0 , 21.094 , 352.494 , 0.0
40.0 , 37.5 , 339.617 , 0.0
50.0 , 58.594 , 345.747 , 0.0
60.0 , 84.375 , 346.929 , 0.0
70.0 , 114.844 , 345.661 , 0.0
80.0 , 150.0 , 349.206 , 0.0
90.0 , 189.844 , 348.184 , 0.0
100.0 , 234.375 , 349.528 , 0.0
110.0 , 283.594 , 348.167 , 0.0
120.0 , 337.5 , 353.11 , 0.0
130.0 , 396.094 , 348.089 , 0.0
140.0 , 459.375 , 346.043 , 0.0
150.0 , 527.344 , 342.609 , 0.0
160.0 , 600.0 , 315.819 , 0.0
180.0 , 759.375 , 321.984 , 0.0
200.0 , 937.5 , 313.286 , 0.0
240.0 , 1350.0 , 289.953 , 0.0
280.0 , 1837.5 , 300.092 , 0.0
350.0 , 2871.094 , 252.355 , 0.0
450.0 , 4746.094 , 244.359 , 0.0
550.0 , 7089.844 , 228.196 , 0.0
700.0 , 11484.375 , 180.964 , 0.0
900.0 , 18984.375 , 170.592 , 0.0
1100.0 , 28359.375 , 170.538 , 0.0
1300.0 , 39609.375 , 175.119 , 0.0
1500.0 , 52734.375 , 198.396 , 0.0
1700.0 , 67734.375 , 171.642 , 0.0
1900.0 , 84609.375 , 172.939 , 134.0
2200.0 , 113437.5 , 225.296 , 448.0
