mnk,mem,mflops,nul
8.0 , 1.5 , 1116.135 , 0.0
12.0 , 3.375 , 1524.944 , 0.0
16.0 , 6.0 , 1696.503 , 0.0
20.0 , 9.375 , 1728.997 , 0.0
30.0 , 21.094 , 1607.12 , 0.0
40.0 , 37.5 , 1579.774 , 0.0
50.0 , 58.594 , 1532.546 , 0.0
60.0 , 84.375 , 1595.818 , 0.0
70.0 , 114.844 , 1595.791 , 0.0
80.0 , 150.0 , 1599.046 , 0.0
90.0 , 189.844 , 1550.215 , 0.0
100.0 , 234.375 , 1520.81 , 0.0
110.0 , 283.594 , 1556.413 , 0.0
120.0 , 337.5 , 1556.1 , 0.0
130.0 , 396.094 , 1463.969 , 0.0
140.0 , 459.375 , 1486.456 , 0.0
150.0 , 527.344 , 1479.479 , 0.0
160.0 , 600.0 , 1247.602 , 0.0
180.0 , 759.375 , 1466.155 , 0.0
200.0 , 937.5 , 1344.44 , 0.0
240.0 , 1350.0 , 1209.398 , 0.0
280.0 , 1837.5 , 1318.026 , 0.0
350.0 , 2871.094 , 1183.229 , 0.0
450.0 , 4746.094 , 1101.69 , 0.0
550.0 , 7089.844 , 1059.944 , 0.0
700.0 , 11484.375 , 1173.629 , 0.0
900.0 , 18984.375 , 1258.095 , 0.0
1100.0 , 28359.375 , 1141.448 , 0.0
1300.0 , 39609.375 , 791.598 , 0.0
1500.0 , 52734.375 , 760.767 , 0.0
1700.0 , 67734.375 , 744.222 , 0.0
1900.0 , 84609.375 , 716.142 , 134.0
2200.0 , 113437.5 , 746.329 , 448.0
