mnk,mem,mflops,nul
8.0 , 1.5 , 1109.332 , 0.0
12.0 , 3.375 , 1502.981 , 0.0
16.0 , 6.0 , 1674.74 , 0.0
20.0 , 9.375 , 1788.677 , 0.0
30.0 , 21.094 , 1553.447 , 0.0
40.0 , 37.5 , 1569.663 , 0.0
50.0 , 58.594 , 1536.361 , 0.0
60.0 , 84.375 , 1594.254 , 0.0
70.0 , 114.844 , 1588.834 , 0.0
80.0 , 150.0 , 1601.328 , 0.0
90.0 , 189.844 , 1545.653 , 0.0
100.0 , 234.375 , 1564.01 , 0.0
110.0 , 283.594 , 1596.937 , 0.0
120.0 , 337.5 , 1612.565 , 0.0
130.0 , 396.094 , 1446.405 , 0.0
140.0 , 459.375 , 1459.627 , 0.0
150.0 , 527.344 , 1524.865 , 0.0
160.0 , 600.0 , 1265.289 , 0.0
180.0 , 759.375 , 1416.536 , 0.0
200.0 , 937.5 , 1338.761 , 0.0
240.0 , 1350.0 , 1207.182 , 0.0
280.0 , 1837.5 , 1317.469 , 0.0
350.0 , 2871.094 , 1198.775 , 0.0
450.0 , 4746.094 , 1105.1 , 0.0
550.0 , 7089.844 , 1146.617 , 0.0
700.0 , 11484.375 , 1175.666 , 0.0
900.0 , 18984.375 , 1205.408 , 0.0
1100.0 , 28359.375 , 1231.046 , 0.0
1300.0 , 39609.375 , 1130.51 , 0.0
1500.0 , 52734.375 , 764.791 , 0.0
1700.0 , 67734.375 , 751.99 , 0.0
1900.0 , 84609.375 , 746.05 , 134.0
2200.0 , 113437.5 , 769.602 , 448.0
