mnk,mem,mflops,nul
8.0 , 1.5 , 946.835 , 0.0
12.0 , 3.375 , 1264.431 , 0.0
16.0 , 6.0 , 1416.001 , 0.0
20.0 , 9.375 , 1486.473 , 0.0
30.0 , 21.094 , 1545.496 , 0.0
40.0 , 37.5 , 1405.945 , 0.0
50.0 , 58.594 , 1436.72 , 0.0
60.0 , 84.375 , 1428.035 , 0.0
70.0 , 114.844 , 1495.501 , 0.0
80.0 , 150.0 , 1484.309 , 0.0
90.0 , 189.844 , 1504.613 , 0.0
100.0 , 234.375 , 1489.406 , 0.0
110.0 , 283.594 , 1530.043 , 0.0
120.0 , 337.5 , 1489.583 , 0.0
130.0 , 396.094 , 1310.657 , 0.0
140.0 , 459.375 , 1264.739 , 0.0
150.0 , 527.344 , 1146.661 , 0.0
160.0 , 600.0 , 588.507 , 0.0
180.0 , 759.375 , 1089.718 , 0.0
200.0 , 937.5 , 1095.097 , 0.0
240.0 , 1350.0 , 681.573 , 0.0
280.0 , 1837.5 , 642.561 , 0.0
350.0 , 2871.094 , 575.096 , 0.0
450.0 , 4746.094 , 516.556 , 0.0
550.0 , 7089.844 , 379.317 , 0.0
700.0 , 11484.375 , 401.399 , 0.0
900.0 , 18984.375 , 414.117 , 0.0
1100.0 , 28359.375 , 410.269 , 0.0
1300.0 , 39609.375 , 409.846 , 0.0
1500.0 , 52734.375 , 409.519 , 0.0
1700.0 , 67734.375 , 417.795 , 0.0
1900.0 , 84609.375 , 388.746 , 134.0
2200.0 , 113437.5 , 330.394 , 448.0
