mnk,mem,mflops,nul
8.0 , 1.5 , 1067.397 , 0.0
12.0 , 3.375 , 1472.982 , 0.0
16.0 , 6.0 , 1648.222 , 0.0
20.0 , 9.375 , 1728.495 , 0.0
30.0 , 21.094 , 1562.802 , 0.0
40.0 , 37.5 , 1602.499 , 0.0
50.0 , 58.594 , 1542.622 , 0.0
60.0 , 84.375 , 1600.286 , 0.0
70.0 , 114.844 , 1606.671 , 0.0
80.0 , 150.0 , 1557.784 , 0.0
90.0 , 189.844 , 1557.566 , 0.0
100.0 , 234.375 , 1561.407 , 0.0
110.0 , 283.594 , 1599.914 , 0.0
120.0 , 337.5 , 1601.174 , 0.0
130.0 , 396.094 , 1473.928 , 0.0
140.0 , 459.375 , 1467.404 , 0.0
150.0 , 527.344 , 1459.401 , 0.0
160.0 , 600.0 , 1217.392 , 0.0
180.0 , 759.375 , 1467.654 , 0.0
200.0 , 937.5 , 1398.243 , 0.0
240.0 , 1350.0 , 1259.543 , 0.0
280.0 , 1837.5 , 1375.237 , 0.0
350.0 , 2871.094 , 1388.498 , 0.0
450.0 , 4746.094 , 1279.183 , 0.0
550.0 , 7089.844 , 1287.382 , 0.0
700.0 , 11484.375 , 1272.428 , 0.0
900.0 , 18984.375 , 1323.27 , 0.0
1100.0 , 28359.375 , 1319.85 , 0.0
1300.0 , 39609.375 , 1330.0 , 0.0
1500.0 , 52734.375 , 1267.023 , 0.0
1700.0 , 67734.375 , 1238.468 , 0.0
1900.0 , 84609.375 , 1098.578 , 134.0
2200.0 , 113437.5 , 943.097 , 448.0
