stride_m,time
70, 0.94952
80, 1.01929
90, 0.99408
100, 1.02491
110, 1.18354
120, 1.25701
130, 1.16662
140, 1.30865
150, 1.18506
160, 1.04473
170, 1.11349
180, 1.15083
190, 1.14881
200, 1.13359
210, 1.03889
220, 1.07806
230, 1.11131
240, 1.08234
250, 1.05053
260, 1.01886
270, 0.98863
280, 0.95173
290, 0.92723
300, 0.85755
310, 0.77947
320, 0.71298
330, 0.72009
340, 0.73150
350, 0.74540
360, 0.75970
370, 0.77009
380, 0.78651
390, 0.79788
400, 0.82076
410, 0.83717
420, 0.85090
430, 0.87194
440, 0.87938
450, 0.89574
460, 0.91006
470, 0.93207
480, 0.95069
490, 0.97153
500, 0.99134
