stride_m,time
3, 0.67950
4, 0.67353
5, 0.67993
6, 0.67264
7, 0.67684
8, 0.67559
9, 0.67768
10, 0.68183
11, 0.68227
12, 0.68905
13, 0.68484
14, 0.68033
15, 0.69889
16, 0.69212
17, 0.68266
18, 0.69185
19, 0.69100
20, 0.70452
21, 0.71160
22, 0.69327
23, 0.70841
24, 0.72143
25, 0.73124
26, 0.73948
27, 0.76250
28, 0.73669
29, 0.74269
30, 0.74225
31, 0.74071
32, 0.74911
33, 0.76851
34, 0.78726
35, 0.81441
36, 0.77895
37, 0.77806
38, 0.80132
39, 0.79315
40, 0.81630
41, 0.85337
42, 0.84235
43, 0.87008
44, 0.87717
45, 0.87392
46, 0.89920
47, 0.88197
48, 0.84364
49, 0.87291
50, 0.89882
51, 0.91002
52, 0.92594
53, 0.97111
54, 0.95661
55, 1.01797
56, 0.99880
57, 0.94533
58, 0.96602
59, 0.96582
60, 0.98309
61, 1.01480
62, 1.01619
63, 1.02335
64, 1.03365
